blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2024-11-24,2024-11-24 00:23:35.000 UTC,0xf134455d6b12e487ca0f1a22572b749daeb0aff8173b002203d055697a8e633c,native,0x832f41ce668c4aef7d67d53d1a7bddaad5413a7d,0xf168429c357843f9e8d3d08619a64fd37758a86a,EOA,,,,,,,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,14.99,51186.352999999996,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 02:50:59.000 UTC,0x2d176eea06befd6f1115d63906251378a5c2ab052eba7b17dc73d71461883827,erc20,0xb3c0f936a701af9019bdc35acb5ec3a55379935e,0xa9bff538a906154c80a8dbccd229f3deddfa52d6,EOA,,MAX Exchange 1,institution,cex_ethereum,,MAX Exchange 1,Transfer,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,48.03103445,362900.8823386975,CEX,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 00:29:59.000 UTC,0xbabb1191a7a931dec845de63eca4646cfe03d4435d062648f7dcb68ca6649fc8,stablecoin,0xf362dd263ed4f967237db825696e7387000c4940,0xc351e45db65d68585e180795537563d33b3716e7,Smart contract,,,,,,,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2493.75,2492.6976375,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-11-24,2024-11-24 08:06:11.000 UTC,0x2b95cccebc2bd7e6bedadb6c0959f7b3194ba81e39f66e35ce3a45d2e1481e2a,stablecoin,0x1ecf9a465426bc7f49a9fa3f9aeb048ba80d9c38,0xb7295535a505170f99dbee63a5718459d448f258,EOA,,,,,,,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,2500,2499.6025,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 04:43:59.000 UTC,0xe687862e5b00c475238dbab97141327da83fe9bfdde623aa1cf07d8f553dc2b9,stablecoin,0x475845c9c7e90e5723705a9d8f43150b7a6d077a,0x4d6dc480841e14f3edd054a39cabd746381431d6,EOA,,,,,,,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,79990,80005.91801000001,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 07:48:23.000 UTC,0x2105b09c473eb6b27dac80826086b0223daaa8c776ebd165b9d5adf0c8c5d290,erc20,0xffed220aa33640af8a2bdacf411aef08411f0384,0x4975523ee268f2648157fe6d948f5b109adca9c1,EOA,,,,,,,Transfer,TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,100559.238,9686.469159588,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 09:01:35.000 UTC,0x15b9fed2298acf6637f9529c32f4a507678015e071bc5eec3b47d8da00c2fae8,native,0xf00585ccda7bdf142657cc8b3b0f40b6bed98150,0x9120416767d5e8a24e656942d59de16260128f84,EOA,,,,,,,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.0015405355503,5.233723046456202,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 03:17:59.000 UTC,0xdada17270b97d917428f96b277b92636e6f5872b7df5b9dd30b605977739087a,erc20,0xd8cae424e488cf39d9d784f0d9ba2d285290b137,0xe79f1c997344af6e5efd912a1a6af2e6bc3975d4,EOA,,,,,,,Transfer,MEME,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,96028.26999999999,1417.3772652,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:51:35.000 UTC,0x8686fa7e75805003ffb9edb34793d32ce6c3d1dbfc843777dbd730bd77b78ea8,erc20,0xb3c0f936a701af9019bdc35acb5ec3a55379935e,0xa9bff538a906154c80a8dbccd229f3deddfa52d6,EOA,,MAX Exchange 1,institution,cex_ethereum,,MAX Exchange 1,Transfer,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,157989.44,224345.0048,CEX,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 07:23:11.000 UTC,0x70a50eec6f3929521efcc035bf856cfa25efe4bc2bc68331ae31750b5f7a4666,native,0x3b4241314cabd3dfb078479815600d138fb18e5e,0x30b68d14238d9dc7acd1f8bb7bf9dcb138e05898,EOA,,,,,,,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.031,105.92731,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:52:11.000 UTC,0x9b45e67a9d9778dba76f211cb3ab454258661cb1fffa53e791c390b97443c673,erc20,0xb3c0f936a701af9019bdc35acb5ec3a55379935e,0xa9bff538a906154c80a8dbccd229f3deddfa52d6,EOA,,MAX Exchange 1,institution,cex_ethereum,,MAX Exchange 1,Transfer,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,99999.99999999999,1787999.9999999995,CEX,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 04:01:47.000 UTC,0xccf44aaba6e62df7ffc52c44c17031d76366924658e28c06ac1189ee0364d810,stablecoin,0xd5f3d7ac636957898bb0bc2dfc25fb12d7760c7d,0x4095f064b8d3c3548a3bebfd0bbfd04750e30077,Smart contract,Morpho_blue: EthereumBundlerV2,,,,,Morpho_blue,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6580.698495,6580.2839109948145,lending,Morpho_blue: EthereumBundlerV2
ethereum,2024-11-24,2024-11-24 03:27:23.000 UTC,0x4c09e07dc8e580f89cef4d5548101452c844e6f5b02eab2490a70004ff55e8c4,stablecoin,0xc696e18e4df0bc3388f3ecc145f1da15824868ba,0x4095f064b8d3c3548a3bebfd0bbfd04750e30077,Smart contract,Morpho_blue: EthereumBundlerV2,,,,,Morpho_blue,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,40680.972293,40683.04702258694,lending,Morpho_blue: EthereumBundlerV2
ethereum,2024-11-24,2024-11-24 00:07:47.000 UTC,0x897e8fe2aca09a6c4e625d9ac90eccddc94dfbeda6e25352fae1829fbb248de1,erc20,0x306336fe962fe2d86f832a2987846a74cdac470c,0xb5ec9706c3be9d22326d208f491e5deef7c8d9f0,Smart contract,Royco: WeirollWallet,,,,,Royco,Transfer,LMR,0x4b1d0b9f081468d780ca1d5d79132b64301085d1,500000,12417.5,unclassified transfer to Smart contract,Royco: WeirollWallet
ethereum,2024-11-24,2024-11-24 00:06:59.000 UTC,0x4d730be09e44ae08b914bf293b9d2e206da154c1fcdab57a24a8a5aa403fe91d,erc20,0x306336fe962fe2d86f832a2987846a74cdac470c,0xb5ec9706c3be9d22326d208f491e5deef7c8d9f0,Smart contract,Royco: WeirollWallet,,,,,Royco,Transfer,LMR,0x4b1d0b9f081468d780ca1d5d79132b64301085d1,1500000,37252.5,unclassified transfer to Smart contract,Royco: WeirollWallet
ethereum,2024-11-24,2024-11-24 00:04:23.000 UTC,0x158e266e381134a21e5680ed0667499e67fda53624db58a63c0408251d01efdc,erc20,0x306336fe962fe2d86f832a2987846a74cdac470c,0xb5ec9706c3be9d22326d208f491e5deef7c8d9f0,Smart contract,Royco: WeirollWallet,,,,,Royco,Transfer,LMR,0x4b1d0b9f081468d780ca1d5d79132b64301085d1,3000000,74526,unclassified transfer to Smart contract,Royco: WeirollWallet
ethereum,2024-11-24,2024-11-24 08:29:23.000 UTC,0x39c9a7fb0efd3a5bb582713de2cf1fe4dd8646e2d0252738fbf93dbc1c39b5ed,erc20,0xd247d8dfda82c12d75cbb374a156f2d0ff0a0469,0x5dcbabb1918dedac26b509b883e748dcef6538d3,Safe,Safe_test: Safe_v_4_1,,,,,Safe_test,Transfer,WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34,300000,92445,unclassified transfer to Safe,Safe_test: Safe_v_4_1
ethereum,2024-11-24,2024-11-24 03:55:11.000 UTC,0x5fa4f18deaa09db620740ab9c68d0cd80b878791e9972b7fdb09408a47187ae4,stablecoin,0x7b60ea021804cf38c52045bff6de10d29ab0380c,0x1deb64680044b126e20504302fb05b3fed588ccf,Safe,Safe_test: Safe_v_4_1,,,,,Safe_test,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,100,100.00569999999999,unclassified transfer to Safe,Safe_test: Safe_v_4_1
ethereum,2024-11-24,2024-11-24 03:16:23.000 UTC,0xfafbab211b4b804b21dff8fdb2f9a43634fc30e0d445c1fab037bc00bad2af26,stablecoin,0xf768ba6d4bbdf057c3e0072b1a285c1b7624c744,0x1c8f5a7ca4c132246498d3cc46fb4279fb46646c,EOA,,,,,,,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,86.037252,86.053254928872,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 00:05:35.000 UTC,0xd0489e714f46008c1825228fd74dc505943a227ec5a7c648f5c419243ec86ea3,erc20,0x306336fe962fe2d86f832a2987846a74cdac470c,0xb5ec9706c3be9d22326d208f491e5deef7c8d9f0,Smart contract,Royco: WeirollWallet,,,,,Royco,Transfer,LMR,0x4b1d0b9f081468d780ca1d5d79132b64301085d1,3000000,74505,unclassified transfer to Smart contract,Royco: WeirollWallet
ethereum,2024-11-24,2024-11-24 02:26:11.000 UTC,0xc4fa74330c4b34dcff2024d660f45e8a1b5a2db206f9a3f6950a1178cd972262,stablecoin,0x40e660a1968c4a335d997f54b6f81a24b4ff3881,0x907d394bf6238d8621672d9fc204c4f3d1a60c91,Safe,Safe,,,,,Gnosis_safe,Transfer,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,10000,9999.94,unclassified transfer to Safe,Safe
